r,t,y,CapitalInvestment
"REGION1","DEMTRADSL",2044,0.830929292929293
"REGION1","DEMTRADSL",2045,0.824454545454545
"REGION1","DEMTRADSL",2046,0.817979797979798
"REGION1","DEMTRADSL",2047,0.811505050505051
"REGION1","DEMTRADSL",2048,0.805030303030303
"REGION1","DEMTRADSL",2049,0.798565656565657
"REGION1","DEMTRADSL",2050,0.792090909090909
"REGION1","DEMTRAHFO",2020,0.107979797979798
"REGION1","DEMTRAHFO",2021,0.105555555555556
"REGION1","DEMTRAHFO",2022,0.103030303030303
"REGION1","DEMTRAHFO",2023,0.100606060606061
"REGION1","DEMTRAHFO",2024,0.0984848484848485
"REGION1","DEMTRAHFO",2025,0.0968686868686869
"REGION1","DEMTRAHFO",2026,0.0954545454545455
"REGION1","DEMTRAHFO",2027,0.0942424242424243
"REGION1","DEMTRAHFO",2028,0.0929292929292929
"REGION1","DEMTRAHFO",2029,0.0915151515151515
"REGION1","DEMTRAHFO",2030,0.0902020202020202
